City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.5322,20.0403,62.6,94,58,5.75,ZA,1616557552
Władysławowo,54.7909,18.4009,41.0,81,90,8.05,PL,1616557552
Chapais,49.7834,-74.8492,37.4,52,90,4.61,CA,1616557553
Neuquén,-38.9516,-68.0591,69.8,46,0,11.5,AR,1616557553
Albany,42.6001,-73.9662,52.0,60,100,3.2,US,1616557425
Tuktoyaktuk,69.4541,-133.0374,-2.2,71,75,11.5,CA,1616557555
Hermanus,-34.4187,19.2345,66.99,83,12,8.01,ZA,1616557555
Port Elizabeth,-33.918,25.5701,66.2,88,0,9.22,ZA,1616557555
Qaanaaq,77.484,-69.3632,-22.99,63,96,6.26,GL,1616557556
Kaitangata,-46.2817,169.8464,57.99,74,99,5.99,NZ,1616557556
Grand Island,40.925,-98.342,42.8,87,90,21.85,US,1616557557
Kapaa,22.0752,-159.319,77.0,50,1,9.22,US,1616557353
Punta Arenas,-53.15,-70.9167,41.0,75,0,31.07,CL,1616557557
Wanning,18.8003,110.3967,79.03,68,17,9.75,CN,1616557558
São Miguel do Araguaia,-13.275,-50.1628,72.77,86,100,2.01,BR,1616557558
Jamestown,42.097,-79.2353,55.4,58,75,12.01,US,1616557559
Rikitea,-23.1203,-134.9692,80.28,74,15,11.43,PF,1616557559
Bluff,-46.6,168.3333,59.0,71,76,3.0,NZ,1616557559
Mandalī,33.7499,45.5541,78.55,31,100,34.67,IQ,1616557560
Felipe Carrillo Puerto,19.5833,-88.05,72.0,97,8,3.8,MX,1616557560
East London,-33.0153,27.9116,59.0,94,0,3.44,ZA,1616557560
Severo-Kuril'sk,50.6789,156.125,34.14,88,90,16.64,RU,1616557561
New Norfolk,-42.7826,147.0587,62.01,84,100,6.2,AU,1616557561
Saint-Philippe,-21.3585,55.7679,80.6,69,0,4.61,RE,1616557562
Buin,-33.7333,-70.75,64.99,67,0,6.91,CL,1616557562
Ushuaia,-54.8,-68.3,42.8,93,75,34.52,AR,1616557563
Tasiilaq,65.6145,-37.6368,6.8,72,10,6.91,GL,1616557563
Mayo,38.8876,-76.5119,53.6,94,90,8.05,US,1616557564
Port Hardy,50.6996,-127.4199,42.8,93,90,6.91,CA,1616557564
Port Alfred,-33.5906,26.891,66.4,80,98,14.18,ZA,1616557565
Kavieng,-2.5744,150.7967,81.14,79,100,9.48,PG,1616557565
Alpena,45.0617,-83.4327,44.6,61,75,5.75,US,1616557565
Pevek,69.7008,170.3133,4.64,84,100,4.47,RU,1616557566
Bathsheba,13.2167,-59.5167,77.0,57,40,19.57,BB,1616557409
Umluj,25.0213,37.2685,84.2,32,0,21.77,SA,1616557566
Genhe,50.7833,121.5167,34.07,65,96,6.49,CN,1616557567
Faya,18.3851,42.4509,57.2,26,0,5.75,SA,1616557567
Kandrian,-6.2167,149.55,83.8,77,97,3.29,PG,1616557568
Zarand,30.8127,56.564,64.74,24,0,2.59,IR,1616557568
Pangnirtung,66.1451,-65.7125,-31.05,96,96,4.88,CA,1616557569
Waipawa,-41.4122,175.5153,66.0,82,90,14.97,NZ,1616557569
Baykit,61.67,96.37,17.78,86,95,2.91,RU,1616557570
Big Bend,-26.8167,31.9333,69.8,88,100,2.3,SZ,1616557570
Chokurdakh,70.6333,147.9167,-6.48,94,100,9.84,RU,1616557571
Zhangaözen,43.3,52.8,47.79,58,98,24.07,KZ,1616557571
Kirakira,-10.4544,161.9205,84.0,74,85,5.5,SB,1616557572
Hobart,-42.8794,147.3294,62.01,88,75,10.36,AU,1616557572
Grand-Santi,4.25,-54.3833,72.97,99,100,1.81,GF,1616557573
Makakilo City,21.3469,-158.0858,75.2,83,90,6.91,US,1616557573
Oranjemund,-28.55,16.4333,63.55,84,0,4.88,NA,1616557574
Sechura,-5.5569,-80.8222,74.89,71,98,16.26,PE,1616557575
Niono,14.2526,-5.993,78.19,16,68,10.56,ML,1616557575
Avarua,-21.2078,-159.775,84.2,79,20,10.36,CK,1616557576
Salta,-24.7859,-65.4117,60.8,94,40,4.61,AR,1616557576
Linjiang,41.8069,126.9078,51.21,51,100,4.72,CN,1616557576
Atuona,-9.8,-139.0333,80.92,72,100,18.19,PF,1616557577
Bengkulu,-3.8004,102.2655,80.98,73,94,2.53,ID,1616557577
Mataura,-46.1927,168.8643,59.0,71,100,3.0,NZ,1616557578
Mergen,49.1833,125.2167,39.29,38,48,6.24,CN,1616557578
Kruisfontein,-34.0033,24.7314,61.0,92,100,1.99,ZA,1616557579
Nagato,34.3833,131.2,60.8,71,75,5.75,JP,1616557579
Nago,26.5881,127.9761,71.6,64,75,11.5,JP,1616557580
Isangel,-19.55,169.2667,82.4,69,75,10.22,VU,1616557580
Mnogovershinnyy,53.9353,139.9242,10.6,65,1,22.93,RU,1616557581
Waltershausen,50.9,10.5667,37.99,82,1,4.16,DE,1616557581
Port-Gentil,-0.7193,8.7815,79.99,77,100,13.67,GA,1616557582
Tadine,-21.55,167.8833,76.96,65,97,9.62,NC,1616557582
San Cristobal,7.7669,-72.225,67.17,92,84,0.87,VE,1616557582
Richards Bay,-28.783,32.0377,68.07,81,100,3.42,ZA,1616557583
Yumen,40.2833,97.2,53.78,9,37,15.43,CN,1616557380
Badamdar,40.3394,49.8039,50.0,100,40,18.41,AZ,1616557583
Porto Murtinho,-21.6989,-57.8825,75.11,73,44,2.48,BR,1616557584
Caravelas,-17.7125,-39.2481,74.46,88,0,3.89,BR,1616557584
Hilo,19.7297,-155.09,77.0,69,20,11.5,US,1616557354
Zhicheng,30.2956,111.5047,69.66,45,0,5.61,CN,1616557585
Dukat,62.55,155.55,-0.65,81,59,3.06,RU,1616557348
Geraldton,-28.7667,114.6,80.6,29,0,13.8,AU,1616557349
Touros,-5.1989,-35.4608,75.2,94,20,3.44,BR,1616557586
Ulety,51.3572,112.4849,38.17,73,99,7.18,RU,1616557586
Palmer,42.1584,-72.3287,45.0,78,97,3.09,US,1616557586
Saskylakh,71.9167,114.0833,-15.97,89,94,5.77,RU,1616557587
Roald,62.5833,6.1333,44.6,70,90,20.71,NO,1616557587
Harrai,22.6167,79.2167,86.59,22,88,5.32,IN,1616557587
Aasiaat,68.7098,-52.8699,-14.89,95,97,6.49,GL,1616557587
Barrow,71.2906,-156.7887,-9.4,70,1,10.36,US,1616557588
Mogadishu,2.0371,45.3438,78.71,75,59,12.17,SO,1616557294
Aksu,41.1231,80.2644,55.89,30,65,3.58,CN,1616557588
George Town,5.4112,100.3354,86.0,74,20,3.44,MY,1616557533
Porbandar,21.6422,69.6093,69.8,94,0,3.44,IN,1616557589
Dori,14.0354,-0.0345,81.39,9,85,12.19,BF,1616557589
Hong Kong,22.2855,114.1577,73.0,66,63,1.01,HK,1616557589
Nabire,-3.3667,135.4833,87.19,63,90,5.19,ID,1616557338
Amboasary,-25.0333,46.3833,73.4,94,40,4.38,MG,1616557590
Norman Wells,65.282,-126.8329,8.6,56,40,13.8,CA,1616557590
Cherskiy,68.75,161.3,9.73,91,100,4.94,RU,1616557590
Ribeira Grande,38.5167,-28.7,55.53,56,28,8.9,PT,1616557591
Fairbanks,64.8378,-147.7164,17.6,67,75,5.75,US,1616557591
Iwaki,37.05,140.8833,63.0,51,3,5.01,JP,1616557591
Vangaindrano,-23.35,47.6,73.38,93,77,3.13,MG,1616557592
Bethel,41.3712,-73.414,46.4,71,1,2.15,US,1616557592
Cabo San Lucas,22.8909,-109.9124,64.99,70,43,15.95,MX,1616557583
Carnarvon,-24.8667,113.6333,78.8,57,6,13.8,AU,1616557399
Tiksi,71.6872,128.8694,-15.38,97,98,2.51,RU,1616557592
Alofi,-19.0595,-169.9187,80.6,89,40,6.91,NU,1616557593
São Filipe,14.8961,-24.4956,70.56,75,7,7.7,CV,1616557593
Lebu,-37.6167,-73.65,56.08,90,20,17.85,CL,1616557593
Stokmarknes,68.5646,14.9108,43.0,90,100,21.99,NO,1616557594
Butaritari,3.0707,172.7902,81.91,78,15,20.67,KI,1616557594
Sinnamary,5.3833,-52.95,75.99,89,97,11.32,GF,1616557595
Koppang,61.5706,11.0555,31.48,95,88,5.01,NO,1616557595
Yerbogachën,61.2767,108.0108,16.09,81,97,8.95,RU,1616557595
Jalu,29.0331,21.5482,53.28,57,0,19.55,LY,1616557596
Fortuna,40.5982,-124.1573,48.99,87,1,9.22,US,1616557572
Sobolevo,54.4299,31.8996,12.0,95,14,3.56,RU,1616557596
Airai,-8.9266,125.4092,70.23,78,55,0.6,TL,1616557597
El Salvador,13.8333,-88.9167,75.2,88,20,1.14,SV,1616557325
Debre Birhan,9.6833,39.5333,48.13,36,2,5.03,ET,1616557598
Yellowknife,62.456,-114.3525,-4.0,59,20,9.22,CA,1616557364
Rio Bonito,-22.7086,-42.6097,77.0,88,0,2.3,BR,1616557598
Bowen,-20.0167,148.2333,91.4,66,79,10.36,AU,1616557599
Inta,66.0317,60.1659,22.59,84,100,16.71,RU,1616557599
Kuusamo,65.9667,29.1833,28.4,93,0,4.61,FI,1616557599
Vaini,-21.2,-175.2,73.4,94,90,13.8,TO,1616557572
Posse,-14.0931,-46.3694,68.38,64,50,3.31,BR,1616557600
Ostrovnoy,68.0531,39.5131,25.97,82,8,20.31,RU,1616557600
Ancud,-41.8697,-73.8203,46.99,91,100,5.01,CL,1616557600
Busselton,-33.65,115.3333,70.25,38,31,2.19,AU,1616557601
Bemidji,47.4736,-94.8803,42.01,60,75,9.22,US,1616557601
Tuatapere,-46.1333,167.6833,59.0,71,85,3.0,NZ,1616557601
Trairi,-3.2778,-39.2689,76.46,86,18,4.52,BR,1616557602
Smithers,54.7804,-127.1743,37.4,87,90,3.44,CA,1616557602
Chanute,37.6792,-95.4572,51.8,76,90,12.66,US,1616557603
Iqaluit,63.7506,-68.5145,-25.01,68,20,6.91,CA,1616557603
Nioro,13.35,-15.75,74.01,32,16,8.63,GM,1616557603
Shelburne,44.0787,-80.2041,44.01,52,1,2.3,CA,1616557604
Lompoc,34.6391,-120.4579,53.6,66,1,9.22,US,1616557604
Asău,46.4333,26.4,28.4,80,40,12.66,RO,1616557605
Peruíbe,-24.32,-46.9983,74.52,93,60,2.55,BR,1616557605
Gibara,21.1097,-76.1317,75.2,83,20,3.44,CU,1616557605
Port Hedland,-20.3167,118.5667,93.2,43,51,10.36,AU,1616557606
Changanācheri,9.4667,76.55,86.38,59,55,1.88,IN,1616557606
Savonlinna,61.8699,28.88,39.2,75,0,6.91,FI,1616557606
Dubti,11.7361,41.0853,75.99,27,4,4.68,ET,1616557607
Provideniya,64.3833,-173.3,30.99,95,100,16.64,RU,1616557607
Luanda,-8.8368,13.2343,76.95,86,100,6.6,AO,1616557388
Preobrazheniye,42.9019,133.9064,44.47,64,100,5.08,RU,1616557607
Thompson,55.7435,-97.8558,3.2,55,40,5.75,CA,1616557608
Teknāf,20.8624,92.3058,87.64,46,2,4.5,BD,1616557608
Leningradskiy,69.3833,178.4167,3.97,93,100,6.8,RU,1616557609
General Roca,-39.0333,-67.5833,69.8,46,0,11.5,AR,1616557609
Hasaki,35.7333,140.8333,68.0,39,20,11.5,JP,1616557609
Longyearbyen,78.2186,15.6401,24.8,68,75,1.14,SJ,1616557610
Batagay-Alyta,67.8006,130.4114,-5.13,85,100,3.87,RU,1616557610
Kenora,49.8167,-94.4337,37.4,60,75,9.22,CA,1616557450
Nikolskoye,59.7035,30.7861,36.0,75,0,4.47,RU,1616557611
Vilyuysk,63.7553,121.6247,0.28,84,98,3.11,RU,1616557611
Urusha,54.05,122.9,26.08,80,90,2.8,RU,1616557612
Bereket,39.2446,55.5154,63.79,40,100,10.22,TM,1616557612
Barcelos,41.5388,-8.6151,46.0,100,20,1.14,PT,1616557612
Oistins,13.0667,-59.5333,77.0,57,40,19.57,BB,1616557440
Bilibino,68.0546,166.4372,9.25,87,100,1.57,RU,1616557613
Yatou,37.15,122.3833,57.0,54,39,13.85,CN,1616557614
Saint George,37.1041,-113.5841,53.01,35,1,27.63,US,1616557614
Hithadhoo,-0.6,73.0833,83.1,72,64,8.28,MV,1616557614
Arlit,18.7369,7.3853,75.83,14,88,8.23,NE,1616557614
Ilulissat,69.2167,-51.1,-5.8,65,75,11.5,GL,1616557615
Kiryat Gat,31.61,34.7642,60.01,100,4,1.99,IL,1616557349
Uruçuí,-7.2294,-44.5561,75.81,78,85,1.68,BR,1616557616
Nemuro,43.3236,145.575,51.8,50,20,11.5,JP,1616557616
Yichun,47.7,128.9,39.54,47,35,1.59,CN,1616557617
Coquimbo,-29.9533,-71.3436,59.0,82,0,3.44,CL,1616557617
Clarence Town,-32.5833,151.7833,84.0,47,40,24.16,AU,1616557617
Nantucket,41.2835,-70.0995,43.0,88,74,8.25,US,1616557516
Andros,37.8333,24.9333,48.0,48,44,15.01,GR,1616557618
Chui,-33.6971,-53.4616,64.62,85,15,5.53,UY,1616557619
Saint Paul Harbor,57.79,-152.4072,33.8,51,1,12.66,US,1616557619
Lagoa,39.05,-27.9833,54.68,52,15,4.45,PT,1616557620
Clyde River,70.4692,-68.5914,-18.4,69,90,6.91,CA,1616557436
Cap-aux-Meules,47.3821,-61.8597,44.6,53,99,14.97,CA,1616557620
Castro,-24.7911,-50.0119,64.18,90,97,0.92,BR,1616557620
Lorengau,-2.0226,147.2712,85.15,68,83,5.77,PG,1616557621
Solnechnyy,50.7214,136.6319,29.95,37,33,8.3,RU,1616557621
Arraial do Cabo,-22.9661,-42.0278,75.25,86,0,3.58,BR,1616557622
Kahului,20.8947,-156.47,78.8,65,40,5.75,US,1616557622
Erenhot,43.6475,111.9767,51.96,21,0,15.19,CN,1616557622
Saint-Pierre,-21.3393,55.4781,80.6,69,0,4.61,RE,1616557623
Flin Flon,54.7682,-101.865,7.29,91,78,4.88,CA,1616557623
Yate,51.5407,-2.4184,46.0,96,100,1.01,GB,1616557624
Port Hawkesbury,45.6169,-61.3485,44.6,61,1,6.91,CA,1616557481
Kukuna,9.4,-12.6667,75.67,70,100,3.98,SL,1616557625
Stephenville,32.2207,-98.2023,60.01,54,1,3.44,US,1616557625
Sangmélima,2.9333,11.9833,67.26,98,100,2.35,CM,1616557625
Le Portel,50.7056,1.5757,33.8,93,56,4.61,FR,1616557626
Cape Town,-33.9258,18.4232,68.0,77,0,2.3,ZA,1616557173
Rincon,32.296,-81.2354,57.2,94,40,5.75,US,1616557602
Pacifica,37.6138,-122.4869,62.6,76,20,16.11,US,1616557492
Makkah al Mukarramah,21.4267,39.8261,79.27,23,0,3.04,SA,1616557627
Zhuangyuan,37.2975,120.8256,63.52,34,85,5.06,CN,1616557628
Klyavlino,54.2649,52.0267,22.35,98,97,2.13,RU,1616557628
Upernavik,72.7868,-56.1549,-14.87,96,99,0.78,GL,1616557628
Flinders,-34.5833,150.8552,82.99,50,0,8.01,AU,1616557629
Khatanga,71.9667,102.5,-2.67,89,100,3.76,RU,1616557629
Buraidah,26.326,43.975,71.6,30,0,9.22,SA,1616557630
Pyaozerskiy,65.8333,31.1667,35.02,98,100,10.38,RU,1616557630
Portland,45.5234,-122.6762,48.99,61,64,0.89,US,1616557080
Puerto Ayora,-0.7393,-90.3518,75.0,95,30,2.57,EC,1616557594
Mahébourg,-20.4081,57.7,77.0,94,20,3.44,MU,1616557632
Aniva,46.7144,142.5294,39.2,33,20,11.18,RU,1616557632
Mulegé,26.8833,-111.9833,61.83,61,67,7.27,MX,1616557633
North Bend,43.4065,-124.2243,46.4,87,1,17.27,US,1616557633
Katsuura,35.1333,140.3,66.0,45,20,17.27,JP,1616557368
Sena Madureira,-9.0656,-68.6569,70.92,98,81,0.45,BR,1616557634
Butembo,0.15,29.2833,57.7,82,57,2.53,CD,1616557634
Leh,34.1667,77.5833,28.51,64,100,6.46,IN,1616557634
Sioux Lookout,50.1001,-91.917,39.2,41,90,4.61,CA,1616557635
Wernigerode,51.8333,10.7833,39.0,89,3,4.16,DE,1616557635
Dali,25.7,100.1833,70.38,24,0,7.54,CN,1616557636
Sirte,31.2089,16.5887,56.79,49,92,23.47,LY,1616557636
Christchurch,-43.5333,172.6333,60.01,88,75,8.05,NZ,1616557382
Māngrol,21.1167,70.1167,84.0,43,0,11.52,IN,1616557637
Oneonta,42.4529,-75.0638,46.99,64,99,3.89,US,1616557583
Bambous Virieux,-20.3428,57.7575,84.0,94,20,3.44,MU,1616557638
Tual,-5.6667,132.75,83.26,74,89,5.39,ID,1616557639
Lerwick,60.1545,-1.1494,44.6,65,75,35.68,GB,1616557639
Vardø,70.3705,31.1107,32.0,74,0,31.07,NO,1616557639
Semme,46.1963,1.5007,41.0,75,0,3.44,FR,1616557640
Túquerres,1.0923,-77.6209,47.62,96,100,3.27,CO,1616557640
Inhambane,-23.865,35.3833,70.14,73,11,8.23,MZ,1616557574
Broken Hill,-31.95,141.4333,73.4,40,0,14.97,AU,1616557641
Deputatsky,69.3,139.9,-5.12,84,100,3.78,RU,1616557642
Muborak,39.2553,65.1528,62.24,51,64,11.59,UZ,1616557642
Pouembout,-21.1333,164.9,81.59,64,84,3.53,NC,1616557643
Barra de Tecoanapa,16.5167,-98.75,75.74,66,0,5.41,MX,1616557643
Verkhoyansk,67.5447,133.385,-6.02,81,100,4.41,RU,1616557445
Sinop Province,41.7711,34.8709,31.59,98,100,6.85,TR,1616557644
Udachny,66.4167,112.4,-0.99,79,100,1.86,RU,1616557644
Beyneu,45.3167,55.2,44.71,58,92,24.14,KZ,1616557579
Lüderitz,-26.6481,15.1594,64.45,81,0,6.6,NA,1616557645
Cayenne,4.9333,-52.3333,80.01,89,75,3.44,GF,1616557645
Misratah,32.3754,15.0925,55.11,49,46,22.28,LY,1616557645
Torres,-29.3353,-49.7269,70.83,93,100,5.19,BR,1616557646
Port Lincoln,-34.7333,135.8667,69.62,70,29,17.02,AU,1616557646
Leshukonskoye,64.8989,45.7622,30.54,87,77,10.38,RU,1616557646
Thinadhoo,0.5333,72.9333,82.69,73,77,6.58,MV,1616557647
Pisco,-13.7,-76.2167,69.8,78,75,12.66,PE,1616557383
Claveria,18.6074,121.0832,83.71,70,5,9.01,PH,1616557647
Turukhansk,65.8167,87.9833,18.61,93,100,19.37,RU,1616557648
Alappuzha,9.49,76.3264,82.65,71,40,2.98,IN,1616557648
Los Zacatones,22.95,-102.05,58.21,25,100,13.38,MX,1616557648
Miles City,46.4083,-105.8406,35.6,60,90,9.22,US,1616557649
Aketi,2.7388,23.7833,69.1,96,71,0.65,CD,1616557649
Kumul,42.8,93.45,55.89,20,100,1.52,CN,1616557649
Vanavara,60.34,102.2797,19.51,75,30,5.7,RU,1616557650
Barreirinhas,-2.7469,-42.8264,75.2,90,100,4.97,BR,1616557624
Quang Ngai,15.1167,108.8,80.38,71,80,7.16,VN,1616557650
Poum,-20.2333,164.0167,79.72,72,41,17.47,NC,1616557650
Mossamedes,-15.1961,12.1522,72.43,83,100,6.29,AO,1616557651
Great Yarmouth,52.6083,1.7305,37.99,93,74,5.75,GB,1616557651
Brae,60.3964,-1.353,44.6,65,75,35.68,GB,1616557652
Haldwani,29.2167,79.5167,85.55,18,26,5.06,IN,1616557465
Songadh,21.1667,73.5667,90.7,26,0,6.4,IN,1616557652
Eureka,40.8021,-124.1637,50.0,82,0,1.99,US,1616557449
Duki,30.1541,68.5728,65.23,23,1,1.05,PK,1616557653
Chiusi,43.016,11.9475,35.01,66,0,2.48,IT,1616557653
Chiredzi,-21.05,31.6667,61.3,94,8,3.27,ZW,1616557653
Bārmer,25.75,71.3833,81.0,16,0,8.43,IN,1616557653
Verkhniye Tatyshly,56.2912,55.8575,27.54,96,97,7.36,RU,1616557654
Voskresenskoye,56.8381,45.4317,9.28,98,94,3.33,RU,1616557654
Zhigansk,66.7697,123.3711,-12.41,87,60,7.31,RU,1616557655
Kyra,49.5776,111.9753,42.89,50,96,8.55,RU,1616557655
Siverskiy,59.3544,30.0783,36.0,75,0,4.47,RU,1616557655
Zunyi,27.6867,106.9072,62.67,57,1,6.69,CN,1616557656
Assiut,27.181,31.1837,62.76,34,1,13.13,EG,1616557656
Auxerre,47.8,3.5667,34.0,83,8,3.11,FR,1616557656
Grand Gaube,-20.0064,57.6608,84.0,79,9,1.99,MU,1616557657
Faanui,-16.4833,-151.75,84.06,73,9,20.15,PF,1616557657
Oriximiná,-1.7656,-55.8661,73.51,94,87,2.28,BR,1616557657
Thibodaux,29.7958,-90.8229,61.0,97,100,55.01,US,1616557658
Los Llanos de Aridane,28.6585,-17.9182,62.6,72,75,8.05,ES,1616557658
Berbera,10.4396,45.0143,77.09,64,0,2.21,SO,1616557658
Hualmay,-11.0964,-77.6139,70.81,80,100,9.26,PE,1616557659
Joshīmath,30.5667,79.5667,58.62,41,20,3.56,IN,1616557659
Ponta do Sol,32.6667,-17.1,54.0,61,56,3.0,PT,1616557660
Torbay,47.6666,-52.7314,39.99,56,90,17.27,CA,1616557660
Mizdah,31.4451,12.9801,43.81,69,5,8.55,LY,1616557660
Cap Malheureux,-19.9842,57.6142,84.0,79,8,1.99,MU,1616557661
Inírida,3.8653,-67.9239,70.45,98,95,2.13,CO,1616557661
Salalah,17.0151,54.0924,71.6,49,0,3.44,OM,1616557662
